"planet_idx"	"PLANET"	"Star_number"	"MASS"	"DENSITY (EARTH)"	"Radius"	"TERRAIN"	"CLIMATE"
672	"Rosaliadecastro IX"	4702	1.86	0.791	1.33	"jungle, grassy hill, forest, toxic cloudsea, field"	"artic, temperate, humid"
673	"Rosaliadecastro XVIII"	4702	2.15	0.954	1.31	"rocky desert, island, verdant, forest"	"windy, subartic, humid, superheated, arid"
674	"Macondo Yi"	6174	4.36	0.821	1.74	"lakes, ice canyon"	"subartic"
675	"Situla Undecimal"	1005	6.96	1.571	1.64	"hill, rocky island, rock arche, cave, scrubland, volcano, bog, verdant, plateau, valley"	"temperate, subartic, arid, artificial temperate, tropical, rocky, frigid"
676	"Situla Septimal"	1005	2.2	0.892	1.35	"reef"	"hot, rocky, tropical, windy"
677	"Zypheria Octal"	7643	6.48	1.257	1.73	"grassland, hill"	"temperate, superheated"
678	"Zypheria Decimal"	7643	1.51	0.821	1.23	"field, urban, forest, verdant, mountain, rock arche"	"rocky, artificial temperate, arid, temperate, tropical"
679	"Ebon Depths Herculean"	6420	6.76	1.092	1.84	"rocky desert, savanna, forest, rocky island, sinkholes, volcano"	"rocky, tropical, temperate, humid, superheated"
680	"Ebon Depths Olympus"	6420	9.03	0.565	2.52	"rocky island, forest, mountain"	"frozen, windy, humid, frigid, artificial temperate"
681	"Chamukuy Nu"	9379	4.7	1.341	1.52	"ice canyon, swamp, cityscape, acid pool, urban, sinkholes, grassy hill, ice cave"	"subartic, temperate, humid, superheated, frozen"
682	"Koi's Ascendance Prime"	6059	2.36	1.226	1.24	"vine"	"frozen, rocky"
683	"Koi's Ascendance Quintal"	6059	1.38	0.992	1.12	"city"	"artic"
684	"Timir Persephonian"	4261	3.59	1.282	1.41	"hill, acid pool, volcano, toxic cloudsea"	"hot, subartic, frozen, temperate, windy"
685	"Timir Morphean"	4261	2.37	0.964	1.35	"field, ocean, urban, plateau"	"superheated, artificial temperate, frozen, arid"
686	"Timir Nereidos"	4261	2.24	1.177	1.24	"scrubland, ice cave, cliff"	"arid, subartic, rocky"
687	"Riftwarder Tau"	56	1.36	0.976	1.12	"grassy hill, hill"	"artic, windy, artificial temperate"
688	"Altair Persephonian"	1046	2.22	0.726	1.45	"plateau, ocean, savanna, barren, canyons, ice cave, sea, hill, island"	"superheated, subartic, hot, frigid, arid, rocky"
689	"Kaze Celestial Qi"	8065	1.45	0.986	1.14	"toxic cloudsea, sea, forest, sinkholes, jungle"	"hot, frozen, frigid, artificial temperate"
690	"Kaze Celestial Shi"	8065	3.26	1.1	1.44	"rocky canyon, hill"	"arid, subartic, windy"
691	"Titawin Yi"	5119	0.36	1.097	0.69	"verdant, island, reef, jungle, fungus forest"	"rocky, tropical, hot, superheated, artificial temperate, subartic"
692	"Titawin Ba"	5119	8.61	1.082	2	"grassy hill, valley, island, tundra, plain, swamp, rocky island, plateau, river"	"frigid, rocky, arid, humid, artic, subartic"
693	"Titawin Shi"	5119	9.09	1.053	2.05	"grassland, city, barren, hill"	"arid, subartic, temperate, artic"
694	"Titawin Wu"	5119	4.3	0.787	na	"ice cave"	"windy, frigid, rocky"
695	"Kaus Borealis VI"	5582	na	1.101	1.2	"cityscape"	"subartic"
696	"Kaus Borealis XXI"	5582	1.04	1.223	0.95	"ocean, sea, hill, river"	"artificial temperate, rocky, temperate, windy"
697	"Kaus Borealis XX"	5582	5.61	1.234	1.66	"tundra, rocky island, verdant, hill, cave"	"superheated, windy, frozen, artic, subartic, rocky, frigid"
698	"Kaus Borealis VII"	5582	7.66	0.954	2	"scrubland, lava river, field, valley, plateau, rocky desert, savanna"	"rocky, frigid, artic, arid, hot"
699	"Alphard Psychean"	6147	7.82	1.174	1.88	"scrubland, plain, island, hill, rock arche"	"arid, rocky, tropical, windy, frozen"
700	"Fomalhaut Theta"	9919	5.21	1.136	1.66	"plain, desert"	"superheated, hot, humid, artificial temperate"
701	"Fomalhaut Tau"	9919	1.26	1.388	0.97	"verdant, savanna"	"rocky, arid"
702	"Nocturnal Silence Rho"	5494	2.01	0.843	1.34	"grassy hill"	"frozen, artic, windy, humid, frigid"
703	"Mimosa Chi"	2239	8.03	1.239	1.86	"jungle, sea"	"temperate, windy, hot, frozen"
704	"Mimosa Theta"	2239	3.29	0.97	1.5	"river, grassland, urban, acid pool"	"frigid, windy, rocky, temperate"
705	"Astral Serenity Pantheon"	4742	1.26	1.228	1.01	"bog, cliff, field"	"frozen, tropical, frigid, humid, windy"
706	"Orionyx IX"	3291	0.49	0.597	0.94	"urban, plateau, cliff"	"temperate, artificial temperate"
707	"Salm Faunios"	9429	5.23	0.704	1.95	"hill, cave, rock arche"	"temperate, arid, windy, hot"
708	"Stormrider Liu"	5229	2.75	1.366	1.26	"urban, river, tundra"	"frigid, subartic"
709	"Horna Sextant"	4224	2.43	0.926	1.38	"rocky island, valley, rock arche"	"frozen, superheated, artic, rocky, artificial temperate, arid"
710	"Horna Vigesimal"	4224	7.3	1.132	1.86	"vine"	"frigid, humid, windy, frozen, temperate"
711	"Albireo X"	999	4.69	0.811	1.79	"rock arche, forest, rocky island, savanna, city, lakes"	"artificial temperate, arid, humid, rocky, superheated"
712	"Albireo XVII"	999	5.57	1.127	1.7	"bog, ice cave, cave, fungus forest, valley, desert"	"windy, superheated, artic, hot, subartic"
713	"Albireo XVI"	999	4.07	0.977	1.61	"plain, ocean, ash, vine, reef"	"frigid, windy, frozen, rocky, superheated"
714	"Pulsarianix San"	6424	2.16	1.228	1.21	"glacier, vine"	"hot, windy, frigid"
715	"Pulsarianix Si"	6424	0.74	0.832	0.96	"cave, urban"	"tropical, subartic, frozen, windy"
716	"Pulsarianix Jiu"	6424	3.13	0.79	1.58	"cave"	"subartic"
717	"Kitalpha Quartal"	9109	3.13	1.143	1.4	"river"	"artificial temperate, artic, arid, temperate"
718	"Kitalpha Sextant"	9109	7.7	0.901	na	"mountain"	"frozen, temperate, frigid, windy, rocky"
719	"Kitalpha Prime"	9109	1.37	0.887	1.16	"lava river, mountain, cityscape, island, vine, jungle"	"temperate, tropical, humid, rocky, superheated, arid"
720	"Kitalpha Septimal"	9109	1.94	1.276	na	"volcano, cityscape, grassy hill, cliff, river"	"temperate, arid, artic, rocky"
721	"Aquilan Anomaly Ba"	4584	5.42	1.058	1.72	"glacier"	"artificial temperate, windy, temperate, hot, frigid"
722	"Aquilan Anomaly Shi"	4584	1.98	1.044	1.24	"reef, verdant, jungle, cliff, cave, ocean"	"rocky, artificial temperate, superheated, arid"
723	"Alula Borealis Nymphios"	543	7.58	0.706	2.21	"valley"	"humid, rocky, artic, artificial temperate, hot"
724	"Berehynia Omega"	9681	6.37	1.168	1.76	"grassy hill, river, vine, verdant, plateau"	"hot, humid, rocky"
725	"Quantumith Morphean"	430	2.96	1.25	1.33	"bog, sea, ocean, savanna, cityscape, rocky canyon"	"frozen, tropical, frigid, superheated, windy"
726	"Vesperian Whimsy X"	9779	3.07	0.835	1.54	"plain, swamp"	"tropical, subartic"
727	"Sulafat Atlasios"	4498	2.06	1.378	1.14	"cityscape"	"frigid, windy, arid"
728	"Aldulfin Shi"	6173	6.74	1.151	1.8	"ice cave, swamp, plateau"	"rocky, subartic, frigid, tropical"
729	"Aldulfin Wu"	6173	na	0.969	1.23	"sea, island"	"humid, frozen, subartic, artificial temperate, artic"
730	"Aldulfin Jiu"	6173	5.13	1.167	1.64	"valley"	"rocky, artificial temperate, arid"
731	"Malmok Omicron"	985	1.46	1.083	na	"cave"	"artic, windy, artificial temperate, hot"
732	"Acrux Septimal"	6103	2.49	0.545	1.66	"savanna, ice cave, swamp, mountain, grassy hill"	"humid, hot, subartic, superheated, temperate, arid"
733	"Acrux Tertial"	6103	5.89	1.061	1.77	"hill"	"temperate, artificial temperate, rocky, arid"
734	"Dombay Persephonian"	4522	3.59	0.635	1.78	"verdant, city, sea, valley"	"frozen, temperate, windy, subartic"
735	"Dombay Artemian"	4522	1.28	1.158	1.03	"city, tundra, urban"	"arid, tropical, frigid, windy, superheated"
736	"Galaxara Hermian"	4443	3.6	0.674	1.75	"acid pool"	"artificial temperate, humid"
737	"Galaxara Cerberian"	4443	7.78	0.76	2.17	"forest"	"artificial temperate, frigid, superheated"
738	"Hadar XXII"	2357	0.78	0.99	0.92	"toxic cloudsea, river, tundra"	"humid, frozen, subartic, tropical, temperate, windy, hot"
739	"Hadar XIV"	2357	1.22	1.414	0.95	"urban, sea, canyons, barren, desert, cliff, plateau, city"	"rocky, tropical, frigid, hot, arid"
740	"Hadar XX"	2357	3.18	0.926	1.51	"plateau, reef, bog, desert, glacier, cave, lakes, sea, volcano"	"windy, frozen, artificial temperate, frigid, temperate, arid, rocky"
741	"Hadar XXIV"	2357	1.51	1.338	1.04	"mountain"	"frozen, humid, rocky, artic, artificial temperate"
742	"Kaus Media Quartal"	3253	2.42	1.077	1.31	"verdant"	"artic, windy"
743	"Kaus Media Septimal"	3253	2.07	1.142	1.22	"cave, bog, grassy hill"	"arid, humid, superheated"
744	"Brimwarden Secant"	5401	3.25	1.072	1.45	"plain, forest, valley"	"windy, humid, rocky, artificial temperate, tropical"
745	"Brimwarden Duodecimal"	5401	2.36	0.988	1.34	"reef"	"hot, superheated"
746	"Ashlesha Titanos"	3695	0.87	1.383	0.86	"mountain, valley, sinkholes, rocky canyon, volcano, ice canyon, glacier"	"frozen, rocky, superheated, subartic, artificial temperate"
747	"Dracozen Jiu"	2435	2.7	0.724	1.55	"river, rocky desert, rocky island, cityscape"	"frigid, temperate, artic"
748	"Dracozen Si"	2435	3.33	0.984	1.5	"rocky canyon, river, ocean"	"subartic, temperate, windy, artificial temperate, frigid"
749	"Izar San"	2528	1.39	1.149	1.07	"plateau"	"frigid, artic, superheated, hot"
750	"Izar Ba"	2528	3.94	1.205	1.48	"field, urban, bog, cave, ice cave, rocky canyon, volcano, toxic cloudsea"	"windy, subartic, tropical, superheated, artic, frozen, frigid"
751	"Osiris Cascade Tau"	2663	na	1.222	1.26	"volcano, forest, jungle, field"	"frigid, hot, artificial temperate, humid, frozen"
752	"Osiris Cascade Omicron"	2663	1.71	0.668	1.37	"cliff, rainforest, cave, cityscape, verdant, rocky island, reef, jungle"	"windy, frigid, humid, rocky, artic, frozen"
753	"Osiris Cascade Delta"	2663	3.67	0.795	1.66	"plateau, field, cave"	"windy, rocky, humid, artic"
754	"Titanium Enigma XI"	8267	na	0.86	0.8	"tundra, field, plateau, cliff"	"arid, artic, artificial temperate"
755	"Astroth Asclepian"	2454	1.21	0.704	1.2	"bog, rainforest, plateau, mountain, ice cave, river"	"frozen, frigid, humid, artic"
756	"Astroth Hestian"	2454	5.73	0.34	2.56	"lava river, acid pool, rocky desert"	"temperate, artic, superheated"
757	"Astroth Nymphios"	2454	0.93	0.939	1	"cityscape"	"frigid, temperate"
758	"Astroth Psychean"	2454	4.2	1.112	1.56	"rocky island, plain, cityscape"	"temperate, humid, rocky, subartic, artic"
759	"Pulsara XII"	4170	1.74	1.541	1.04	"ice canyon"	"superheated, subartic"
760	"Pulsara XVI"	4170	6.47	1.118	1.8	"rocky island, cityscape"	"humid, frozen, superheated"
761	"Chaophraya Liu"	2614	2.35	1.044	1.31	"bog, verdant, jungle, savanna, valley"	"tropical, superheated, humid, subartic"
762	"Chaophraya Si"	2614	6.74	1.074	1.84	"fungus forest, cliff, bog, verdant, lakes"	"windy, tropical, arid, humid, subartic"
763	"Scarabian Veil Delta"	7564	2.51	1.391	1.22	"lava river, desert"	"artificial temperate, subartic, temperate, rocky, hot"
764	"Alasia Secant"	1210	4.73	1.257	1.56	"city, plain"	"subartic, rocky, hot, humid"
765	"Alasia Quartal"	1210	0.85	0.971	0.96	"plain"	"windy, subartic"
766	"Alasia Tertial"	1210	2.27	0.463	1.7	"desert, acid pool"	"rocky, windy"
767	"Alasia Undecimal"	1210	1.75	0.584	1.44	"jungle, plateau, ice canyon, sinkholes"	"windy, hot, artic, superheated, artificial temperate, subartic"
768	"Asellus Australis VII"	8723	5.94	0.61	2.13	"bog"	"tropical, artificial temperate, windy"
769	"Lunacraze XIII"	3466	1.88	1.282	1.14	"barren, hill"	"humid, arid"
770	"Lunacraze II"	3466	1.3	0.874	1.14	"ice cave, lakes, cliff, jungle, river"	"superheated, windy, subartic, arid, rocky"
771	"Lunacraze IX"	3466	1.68	0.516	1.48	"reef, savanna, ocean, rocky canyon"	"hot, rocky, tropical, subartic"
772	"Lunacraze V"	3466	6.99	0.951	1.94	"grassy hill, plateau, valley, city, rainforest, swamp"	"frigid, windy, subartic, artic, tropical, artificial temperate, rocky"
773	"Fawaris San"	942	4.79	0.766	1.84	"barren, cliff, acid pool"	"arid, superheated"
774	"Fawaris Yi"	942	1.59	1.211	1.09	"swamp"	"frozen, tropical, arid, hot, windy"
775	"Shama Psychean"	406	7.12	0.604	2.28	"bog"	"arid, tropical, subartic"
776	"Brimstone Selenean"	1612	3.16	1.03	1.45	"canyons, savanna, acid pool"	"artificial temperate, rocky"
777	"Brimstone Janusian"	1612	4	1.492	1.39	"bog"	"windy, tropical, humid"
778	"Brimstone Morphean"	1612	6.22	0.885	1.92	"rocky island, ocean, ice cave"	"subartic, frozen, arid, humid, artificial temperate, temperate, tropical"
779	"Sceptrum Morphean"	3577	4.01	0.996	1.59	"grassy hill, island, field"	"arid, artic, rocky, superheated, humid, artificial temperate"
780	"Bonsai Gaze X"	4693	7.58	0.638	2.28	"bog, ice cave, jungle"	"artic, hot"
781	"Orion's Elegance Phi"	4634	8.25	1.104	1.96	"cave, tundra, savanna, bog, canyons, rainforest, glacier"	"subartic, frozen, humid, tropical, rocky"
782	"Funi II"	3996	9.31	0.693	2.38	"rocky canyon, valley, field"	"artificial temperate, rocky"
783	"Amansinaya Er"	5721	4.16	1.192	na	"glacier, ocean, plateau, plain, ice cave, bog"	"humid, arid, tropical, subartic, hot, windy"
784	"Amansinaya Shi"	5721	0.93	1.35	0.88	"desert"	"arid"
785	"Amansinaya Liu"	5721	7	0.793	2.07	"field"	"temperate"
786	"Amaterasu Mirage IV"	6864	1.92	1.058	1.22	"fungus forest, river, valley, ash"	"frigid, hot, frozen, superheated"
787	"Mebsuta Nonal"	8365	6.83	1.206	1.78	"forest"	"hot, artificial temperate, windy"
788	"Mebsuta Duodecimal"	8365	3.04	1.023	1.44	"ocean, rocky desert, rainforest, plateau, ice canyon"	"tropical, humid, rocky, artic"
789	"Merak Septimal"	4665	1.26	0.687	1.22	"cave, bog, glacier"	"hot, artic"
790	"Kirei VI"	806	9.49	1.3	1.94	"rocky desert, rocky canyon, ocean, river"	"artificial temperate, windy, subartic, arid"
791	"Xuange VIII"	9693	6.39	0.982	1.87	"savanna, plain"	"artic, tropical, humid"
792	"Quasarionyx Secant"	4005	1.27	1.022	1.07	"forest, cityscape, city, vine, grassland, acid pool"	"frigid, rocky, subartic, humid"
793	"Quasarionyx Undecimal"	4005	6.73	1.085	1.84	"cliff, island, tundra"	"frozen, subartic, artificial temperate, artic, frigid, arid"
794	"Quasarionyx Sextant"	4005	2.38	0.95	1.36	"ice cave, glacier"	"superheated, windy, frozen"
795	"Quasarionyx Nonal"	4005	2.42	1.241	1.25	"rainforest, field, island"	"superheated, temperate"
796	"Lunar Quasar XXI"	9083	8.09	1.069	1.96	"cityscape, vine, ash, bog, sinkholes"	"subartic, superheated, hot"
797	"Lunar Quasar VI"	9083	1.37	1.15	1.06	"cliff, cave"	"artificial temperate, windy"
798	"Lunar Quasar XIII"	9083	7.51	1.065	1.92	"verdant"	"humid, temperate, hot, artic, windy"
799	"Sylvari Pantheon"	3451	3.34	0.699	1.68	"acid pool"	"frigid, windy, rocky, artificial temperate"
800	"Sylvari Hermesios"	3451	5.38	0.825	1.87	"plain, river, rocky canyon, savanna, lava river"	"tropical, arid, rocky"
801	"Electra Hadean"	9419	4.66	0.812	1.79	"reef"	"humid, arid, hot"
802	"Cebalrai Irisian"	5292	3.98	0.903	1.64	"volcano"	"superheated, artificial temperate, frozen, subartic"
803	"Cebalrai Morphean"	5292	9.34	1.121	2.03	"rocky canyon"	"arid"
804	"Algedi Sextant"	3029	9.39	1.272	1.95	"city, mountain"	"frozen"
805	"Algedi Prime"	3029	4.04	0.619	1.87	"cave"	"frigid, arid"
806	"Algedi Decimal"	3029	na	1.371	1.73	"field, jungle, volcano, plain, acid pool"	"frigid, frozen, artificial temperate, superheated, humid"
807	"Algedi Undecimal"	3029	2.16	0.65	1.49	"reef, savanna, tundra, lava river, verdant, lakes"	"subartic, superheated, temperate, tropical"
808	"Kaze Er"	5816	2.49	1.504	1.18	"plateau"	"superheated, artic, tropical, windy"
809	"Kiseki Expanse IV"	9107	0.97	0.465	1.28	"desert, jungle, scrubland"	"artificial temperate, superheated, subartic, hot, arid"
810	"Peacock IX"	9145	4.64	1.123	1.6	"rainforest, ice cave, plain, lakes, verdant, urban"	"rocky, subartic, artic, humid"
811	"Mago XII"	5654	4.01	1.35	1.44	"acid pool, rocky desert, swamp, savanna"	"frigid, humid, hot"
812	"Mago VII"	5654	3.06	0.816	1.55	"jungle, city, river, cliff"	"artic, artificial temperate, windy, frigid, hot, superheated"
813	"Mago XI"	5654	2.26	1	1.31	"river, plain, ash"	"subartic, superheated"
814	"Mirzam Xi"	3583	3.66	1.364	1.39	"ocean, sea, rocky canyon, verdant, valley, barren"	"frigid, arid, hot, temperate"
815	"Symbionara Jiu"	8936	1.55	0.962	1.17	"plain, forest, rocky canyon, cliff, hill"	"arid, subartic, rocky"
816	"Giausar XIII"	1587	2.66	1.053	1.36	"city, savanna"	"superheated, artificial temperate, hot"
817	"Montuno IX"	1084	1.87	1.059	1.21	"ice cave, plain, rocky island, fungus forest, ice canyon, ash, lava river"	"rocky, frozen, hot, subartic, superheated, frigid"
818	"Gumala Dionysios"	9879	5.62	0.776	1.93	"ice cave, island, cliff"	"frigid, windy, artic"
819	"Siriusnova XVII"	7098	7.53	0.847	2.07	"cityscape"	"superheated, humid, frozen, artic"
820	"Sadalbari XIV"	9453	1.63	0.877	1.23	"verdant, tundra"	"rocky, artic, superheated, frozen, windy, hot"
821	"Bastet's Mirage Secant"	5016	1.14	1.112	1.01	"fungus forest, mountain, rocky island, savanna, grassy hill, hill, scrubland, ice cave"	"frozen, hot, tropical, humid, arid"
822	"Bastet's Mirage Tertial"	5016	2.4	1.1	1.3	"city"	"frigid, artic, artificial temperate, windy"
823	"Bastet's Mirage Sextant"	5016	1.39	1.09	1.08	"rocky island"	"frozen, artic, frigid, windy, rocky, tropical, arid"
824	"Bastet's Mirage Vigesimal"	5016	1.99	0.822	1.34	"rocky desert, lakes, acid pool, rock arche, urban, plateau"	"rocky, subartic, hot, frozen, temperate"
825	"Celestrium Hadean"	7806	3.36	0.688	1.7	"grassland"	"humid, hot, artificial temperate, superheated"
826	"Riftwanderer Psychean"	7386	0.4	0.84	0.78	"mountain, lakes, grassy hill"	"superheated, artificial temperate, frozen, tropical, artic, frigid"
827	"Riftwanderer Oranos"	7386	2.54	1.217	1.28	"sinkholes, grassland"	"temperate, superheated, humid"
828	"Nebulous Enigma Poseidian"	5425	0.72	0.86	0.94	"swamp, volcano, mountain, ocean, jungle"	"arid, rocky, subartic, humid, artic, hot, superheated"
829	"Hatysa Atlasios"	3163	8.88	0.95	2.11	"river, reef, rocky island, rock arche"	"hot, windy, humid, artificial temperate, superheated, frigid"
830	"Násti Quartal"	8514	1.91	0.819	1.33	"cityscape"	"windy, humid, temperate, frozen, subartic"
831	"Násti Prime"	8514	3.19	0.849	1.55	"volcano, sinkholes"	"temperate, rocky, windy, artificial temperate, superheated, hot"
832	"Samurai's Mirage San"	7954	1.97	0.91	1.29	"vine, rocky desert, rocky island"	"windy, rocky, temperate, arid"
833	"Samurai's Mirage Liu"	7954	na	1.17	1.91	"rocky desert, cliff, lakes, urban, scrubland"	"superheated, artic, arid"
834	"Samurai's Mirage Ba"	7954	na	1.443	0.86	"city"	"humid"
835	"Samurai's Mirage Si"	7954	2.28	1.205	1.24	"sinkholes"	"hot, tropical, artificial temperate, rocky"
836	"Kurhah Tritonian"	1165	2.16	1.079	1.26	"plain, valley"	"rocky"
837	"Whalebone IX"	5102	2.25	1.19	1.24	"scrubland, rainforest, swamp, hill, lakes"	"tropical, temperate, arid"
838	"Whalebone XV"	5102	2.93	0.746	1.58	"urban, cliff"	"tropical, arid, frigid, subartic, humid, windy"
839	"Whalebone XIV"	5102	4.51	0.533	2.04	"mountain, ice cave, ocean, cliff, bog, rocky desert, river"	"subartic, hot, frigid, rocky, temperate, arid"
840	"Umbral Depths Herculean"	3664	1.87	0.599	1.46	"river"	"hot"
841	"Umbral Depths Sirenios"	3664	1.66	0.926	1.21	"fungus forest, glacier, city, valley"	"windy, artificial temperate, arid, superheated, hot, frozen"
842	"Shinju Serenity VII"	6598	7.27	1.007	1.93	"cliff"	"subartic, temperate, hot, windy"
843	"Maasym Secant"	7830	3.96	0.859	na	"ice cave, barren, scrubland, verdant, grassy hill, glacier, plateau"	"arid, frigid, tropical, rocky, humid, superheated"
844	"Absolutno Helios"	7264	6.85	1.336	1.72	"barren"	"hot, tropical, humid, arid, artificial temperate, temperate"
845	"Absolutno Faunios"	7264	6.74	0.92	1.94	"jungle, field"	"windy, tropical, subartic, artificial temperate"
846	"Absolutno Olympus"	7264	0.42	1.009	0.75	"reef, bog, grassy hill"	"hot, arid, frozen, subartic"
847	"Alshat XXIV"	2762	6.63	0.555	2.29	"ash, reef"	"superheated, subartic, temperate, hot, tropical, arid"
848	"Dalim Decimal"	8132	1.55	1.096	1.12	"island, cliff, ash, sinkholes, savanna, grassy hill, ocean, canyons"	"subartic, tropical, hot, artic, rocky, windy, arid"
849	"Novaflame Septimal"	5290	8.09	1.285	1.85	"ice canyon, swamp, mountain, fungus forest, ice cave"	"artic, artificial temperate, tropical, temperate, frigid, hot"
850	"Yoru Ascendance Tau"	987	5.79	1.292	1.65	"canyons, vine, hill, ocean"	"humid, superheated, tropical, windy, temperate"
851	"Lunarianth Cerberian"	181	1.52	0.818	1.23	"swamp, cliff, jungle, vine, rocky canyon, mountain"	"hot, rocky, humid, temperate, artificial temperate"
852	"Galaxix Pantheon"	5678	3.6	0.973	1.55	"cliff"	"artificial temperate, subartic, humid, temperate, frigid"
853	"Sora Octal"	6405	6.98	1.149	1.82	"plain"	"frigid, tropical, temperate, artic, frozen"
854	"Sora Sextant"	6405	2.37	1.067	1.3	"vine, cliff, grassy hill"	"artificial temperate, humid, windy, arid"
855	"Sora Secant"	6405	4.85	1.007	1.69	"ocean, grassland, forest, fungus forest, rock arche"	"subartic, tropical, temperate"
856	"Torii Celestial Er"	1474	1.04	1.129	0.97	"savanna, grassland"	"temperate, arid"
857	"Mizar Rho"	5493	4.85	0.794	1.83	"plateau, sea"	"frigid"
858	"Comet Shroud Decimal"	7132	5.1	1.206	1.62	"plain, rock arche"	"windy, frozen"
859	"Comet Shroud Septimal"	7132	4.75	1.102	1.63	"ash"	"superheated, subartic, temperate, artic"
860	"Aozora Nebula Eosian"	5988	1.46	1.127	1.09	"city, rock arche, cityscape, ocean"	"artic, windy, frigid, subartic"
861	"Saiph Ba"	6400	6.6	0.607	2.22	"toxic cloudsea, tundra, ocean, lakes, reef, sea"	"frigid, superheated, artificial temperate, windy, frozen"
862	"Saiph Liu"	6400	7.74	0.78	2.15	"city"	"frigid"
863	"Lurking Whispers Septimal"	5507	1.42	0.94	1.15	""	"windy"
864	"Hathor's Labyrinth Echoian"	9355	6.8	1.43	1.68	"mountain, verdant, bog, cave, tundra, hill"	"rocky, frigid, humid, superheated, hot"
865	"Hathor's Labyrinth Hermian"	9355	1.73	0.437	1.58	"reef"	"subartic, hot, frozen"
866	"Hathor's Labyrinth Atlasios"	9355	1.25	1.16	1.03	"glacier, rocky canyon, savanna, city, reef, lakes"	"subartic, arid, tropical, temperate"
867	"Cassioth XVI"	1216	0.71	1.009	0.89	"cityscape"	"subartic, superheated, rocky, artificial temperate, frigid"
868	"Cassioth XX"	1216	3.45	1.001	1.51	"mountain"	"humid, windy, temperate"
869	"Cassioth VI"	1216	8.28	0.852	2.13	"plateau, rocky desert, island, canyons"	"windy, superheated, arid, rocky, frigid"
870	"Cassioth XXIII"	1216	5.68	0.868	1.87	"reef, grassland, glacier"	"humid, arid, windy, frozen"
871	"Cursa XXIV"	3116	2.76	1.087	1.36	"cliff"	"windy, humid, artificial temperate"
872	"Chertan Jiu"	2515	7.64	1.06	1.93	"city, valley"	"rocky, frigid, windy"
873	"Chertan Yi"	2515	0.53	1.019	0.8	"sea, rock arche, grassy hill, forest, hill"	"frozen, frigid, temperate"
874	"Chertan Ba"	2515	3.22	1.243	na	"cliff, cave, plateau, savanna"	"tropical, rocky, artificial temperate, temperate"
875	"Darkonix San"	3353	3.12	0.945	1.49	"island, reef, desert, acid pool"	"hot, arid, superheated, frozen, frigid"
876	"Darkonix Liu"	3353	5.31	0.587	2.08	"plateau, urban, grassy hill"	"rocky, arid, humid, tropical, artic"
877	"Wurren Quartal"	8210	1.53	0.957	1.17	"cityscape, hill"	"frozen"
878	"Polaris Australis Si"	9309	6.46	0.691	2.11	"cliff"	"rocky"
879	"Polaris Australis Wu"	9309	1.19	1.069	1.04	"plateau, rocky canyon, canyons, city"	"artificial temperate, tropical, humid"
880	"Intan Ba"	6723	7.17	1.331	1.75	"volcano, ice canyon"	"arid, artificial temperate, hot, windy, rocky, artic"
881	"Intan Yi"	6723	3.12	0.895	1.52	"cave"	"arid, hot, humid, frozen, subartic, rocky"
882	"Intan Liu"	6723	3.12	0.957	1.48	"island, tundra, plateau, cave"	"arid, superheated, frigid"
883	"Intan Wu"	6723	2.45	0.948	1.37	"cityscape, rock arche"	"temperate"
884	"Sekai Ember Epsilon"	7199	2.22	0.868	1.37	"savanna, sinkholes, reef, ash"	"artificial temperate, frigid, superheated, arid"
885	"Sekai Ember Delta"	7199	1.05	1.27	0.94	"rock arche, rocky island, verdant, volcano, river"	"tropical, rocky, hot"
886	"Sekai Ember Pi"	7199	0.72	0.76	0.98	"cliff, urban, ocean, river"	"windy, artificial temperate, tropical, rocky, frigid"
887	"Sekai Ember Phi"	7199	1.2	1.023	na	"ice canyon, lava river, cityscape, sea, vine, desert"	"frozen, humid, rocky, superheated"
888	"Ankh Seraph San"	659	0.49	0.947	0.8	"island, field, river, rainforest"	"frozen, humid, artic, windy, frigid"
889	"Ebon Crypt Asclepian"	6259	1.66	0.84	1.25	"rocky canyon, cave"	"arid, rocky, frozen, subartic"
890	"Polaris XV"	8998	6.48	1.075	1.82	"cave"	"artificial temperate, frigid, rocky"
891	"Polaris VII"	8998	1.11	0.883	1.08	"desert"	"rocky, arid, superheated, humid, frozen"
892	"Polaris XIII"	8998	0.73	0.935	na	"rocky canyon, vine"	"tropical, temperate, superheated, frigid"
893	"Ignifera Aetherios"	1225	5.47	1.614	1.5	"grassy hill, city, plateau, swamp, tundra, verdant"	"temperate, rocky, artic, humid"
894	"Ignifera Aphroditos"	1225	5.49	0.698	1.99	"mountain, ice canyon"	"subartic"
895	"Ignifera Pegasusian"	1225	0.49	0.931	0.81	"lakes"	"windy"
896	"Tiaki Septimal"	8877	2.82	0.794	1.53	"island, rock arche"	"windy, hot"
897	"Titanic Mirage Pi"	9587	0.47	1.393	0.7	"swamp, field, rainforest, rock arche"	"artic, temperate, frozen, arid, tropical"
898	"Beemim Octal"	9766	na	0.997	1.23	"jungle, grassy hill, ash, volcano, cityscape"	"hot, temperate, arid, frozen"
899	"Zenithria Er"	5192	2.93	0.612	1.69	"forest"	"hot, frozen, humid"
900	"Sadalsuud Hadean"	5748	1	0.774	1.09	"cityscape, swamp, rainforest, bog"	"artificial temperate, subartic, humid"
901	"Alrescha IX"	7127	2.47	0.915	1.39	"grassland, rock arche"	"tropical, frigid, temperate, arid"
